"name","weightingms","discountsellingprice","price_per_gram"
"24 Mantra Organic Whole Wheat Atta",1000,0.59,0.00
"Top Ramen Masala",560,0.82,0.00
"Fortune Rice Bran (Pouch)",1000,1.99,0.00
"Origami So Soft Tissue Roll 3 Ply",696,3.47,0.00
"Colgate Gentle Sensitive+ Toothbrush Pack Of 4",232,1.08,0.00
"MTR Upma",160,0.45,0.00
"Dhara Filtered Groundnut Oil (Jar)",5000,10.35,0.00
"Ching's Secret Just Soak - Veg Hakka Noodles",600,1.15,0.00
"24 Mantra Organic Wheat Daliya ",500,0.47,0.00
"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",1000,1.94,0.00
"Popular Essentials Bansi Sooji",500,0.34,0.00
"Pril Power Of Active Boosters",400,1.02,0.00
"Lotte Choco Pie Cocoa Pie",168,0.81,0.00
"Amul Mithai Mate Condensed Sweetened Milk",200,0.54,0.00
"Ching's Secret Just Soak - Veg Hakka Noodles",150,0.30,0.00
"Ching's Secret Green Chilli Sauce",425,1.05,0.00
"Praakritik Organic Jumbo Rolled Oats",500,1.69,0.00
"Dabur Chyawanprakash - Sugar Free",900,3.85,0.00
"Sweet Corn",116,0.30,0.00
"Dr Oetker Cucumber & Carrot Sandwich Spread Veg",250,0.79,0.00
"Popular Essentials Idli Rice",1000,0.54,0.00
"Beans French",250,0.28,0.00
"Amul Slim Trim Skimmed Milk",1000,0.75,0.00
"Zama Organics Carrot",250,0.17,0.00
"Britannia Atta Kulcha",250,0.30,0.00
"Tata Sampann Urad Dal Split",500,0.90,0.00
"Weikfield Baking Powder",100,0.32,0.00
"Aashirvaad Atta With Mutigrains",5000,2.87,0.00
"Surf Excel Easy Wash Detergent Liquid",1000,1.69,0.00
"Chakaachak Power Scrub (Pack of 2)",116,0.41,0.00
"Dabur Hommade Tamarind Paste",200,0.45,0.00
"Kissan Mixed Fruit Jam ",500,1.55,0.00
"Popular Essentials Buckwheat Flour (Kuttu Atta)",500,1.13,0.00
"Colgate Max Fresh Plax Mouthwash - Fresh Mint",250,1.20,0.00
"Ching's Singapore Curry Instant Noodles",240,0.60,0.00
"Popular Essentials Dhania (Coriander Seeds)",200,0.46,0.00
"Dhara Groundnut Oil (Pouch)",1000,2.03,0.00
